,STATION,LINENAME,DATE,WEEKLY ENTRIES
445,45 ST,R,2016-01-02,42810
446,GRAND ST,L,2016-01-02,43478
447,BROADWAY,G,2016-01-02,25999
448,BOWERY,JZ,2016-01-02,22477
449,116 ST,23,2016-01-02,76926
450,PELHAM PKWY,5,2016-01-02,18812
451,WALL ST,45,2016-01-02,123506
452,47-50 STS ROCK,BDFM,2016-01-02,372156
453,METROPOLITAN AV,M,2016-01-02,26662
454,BURNSIDE AV,4,2016-01-02,65506
455,23 ST,FM,2016-01-02,159673
456,BEACH 25 ST,A,2016-01-02,11569
457,GUN HILL RD,25,2016-01-02,46793
458,JEFFERSON ST,L,2016-01-02,45721
459,3 AV 138 ST,6,2016-01-02,47799
460,1 AV,L,2016-01-02,145923
461,BROOK AV,6,2016-01-02,38490
462,145 ST,1,2016-01-02,61636
463,LEXINGTON AV/53,EM6,2016-01-02,254887
464,BEVERLEY ROAD,BQ,2016-01-02,18761
465,190 ST,A,2016-01-02,27926
466,39 AV,NQ,2016-01-02,17039
467,ST. GEORGE,1,2016-01-02,80706
468,163 ST-AMSTERDM,C,2016-01-02,27187
469,PARK PLACE,23ACE,2016-01-02,20733
